R_ID,zone,Resource,THERM,DISP,NDISP,STOR,DR,HEAT,NACC,HYDRO,TRADER,RPS,CES,Num_VRE_bins,Commit,Min_Share,Max_Share,Existing_Cap_MW,Existing_Charge_Cap_MW,Existing_Cap_MWh,New_Build,Cap_size,Min_Cap_MW,Max_Cap_MW,Min_Share_percent,Max_Share_percent,Inv_cost_per_MWyr,Inv_cost_per_MWhyr,Fixed_OM_cost_per_MWyr,Var_OM_cost_per_MWh,Fixed_OM_cost_per_MWhyr,Inv_cost_charge_per_MWyr,Fixed_OM_cost_charge_per_MWyr,Var_OM_cost_per_MWh_in,Externality_cost_MWh,Start_cost_per_MW,Start_fuel_MMBTU_per_MW,Heat_rate_MMBTU_per_MWh,Fuel,Min_power,Self_disch,Eff_up,Eff_down,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_DSM_delay,Max_DSM_advance,DSM_energy_eff,Ramp_Up_percentage,Ramp_Dn_percentage,Up_time,Down_time,NACC_Eff,NACC_Peak_to_Base,Reg_Up,Reg_Dn,Rsv_Up,Rsv_Dn,Reg_Cost,Rsv_Cost,voltage_level,Fixed_CAP,Fixed_CAP_MW,InveterLoadRatio,EtaInverter,Hydro_Res_flexibility_days,Cost_sheet_name,index
48,16,Wind_z16_02,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,4645,0,0,1,1,-1,-1,0,0,62448,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z16_02,48
49,16,Wind_z16_03,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2687,0,0,0,1,-1,-1,0,0,0,0,39116,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z16_03,49
50,16,Wind_z16_04,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,326,0,0,0,1,-1,-1,0,0,0,0,39116,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z16_04,50
51,17,Wind_z17_01,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1288,0,0,0,1,-1,-1,0,0,0,0,22210,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z17_01,51
52,17,Wind_z17_02,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,668,0,0,1,1,-1,-1,0,0,91536,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z17_02,52
53,18,Wind_z18_01,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,476,0,0,0,1,-1,-1,0,0,0,0,27445,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z18_01,53
54,18,Wind_z18_02,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,910,0,0,1,1,-1,-1,0,0,59699,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z18_02,54
55,2,Hyd_z02_01,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,188,0,0,-1,188,-1,0,0,0,0,0,24143,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Hyd_z02_01,55
56,3,Hyd_z03_01,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,261,0,0,-1,261,-1,0,0,0,0,0,16022,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Hyd_z03_01,56
57,4,Hyd_z04_01,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,866,0,0,-1,866,-1,0,0,0,0,0,18169,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Hyd_z04_01,57
58,6,Hyd_z06_01,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,85,0,0,-1,85,-1,0,0,0,0,0,26798,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Hyd_z06_01,58
