Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,UseExtremePeriods,ClusterMethod,ScalingMethod,MinPeriods,MaxPeriods,IterativelyAddPeriods,Threshold,IterateMethod,nReps,LoadWeight,ClusterFuelPrices,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,,,,,,,,,,,,136,10720.28496292432,3062.0334850455138,1461.367920445694
,,,,,,,,,,,,,,,,,,,137,11047.997151320937,3155.225808503421,1506.4276180628
,,,,,,,,,,,,,,,,,,,138,11525.228025673508,3291.4299735572845,1571.9689964149543
,,,,,,,,,,,,,,,,,,,139,11355.227327942765,3243.2976746284753,1548.415063569649
,,,,,,,,,,,,,,,,,,,140,10973.237808342958,3133.719887705442,1496.186777695276
,,,,,,,,,,,,,,,,,,,141,10560.525271080967,3015.9493690498452,1439.862155673893
,,,,,,,,,,,,,,,,,,,142,10002.390450217981,2857.2151917314327,1364.0799369542146
,,,,,,,,,,,,,,,,,,,143,9258.893422793157,2644.204166684788,1261.6715332789731
,,,,,,,,,,,,,,,,,,,144,8505.155389480939,2429.144958705003,1159.2631296037316
,,,,,,,,,,,,,,,,,,,145,7898.887840947199,2256.0735008546044,1076.3123226267862
,,,,,,,,,,,,,,,,,,,146,7533.283930767223,2151.616171264423,1027.1562888626704
,,,,,,,,,,,,,,,,,,,147,7346.897623616648,2097.3393235361914,1001.5541879438603
,,,,,,,,,,,,,,,,,,,148,7277.258783582367,2077.8815856713536,992.3374316130885
,,,,,,,,,,,,,,,,,,,149,7342.8012212616895,2097.3393235361914,1001.5541879438603
,,,,,,,,,,,,,,,,,,,150,7650.0313978835175,2185.411189661246,1043.541633450709
,,,,,,,,,,,,,,,,,,,151,8181.53960343928,2336.9767267136667,1115.227516023378
,,,,,,,,,,,,,,,,,,,152,8748.891329600923,2497.7590869652204,1193.0579028165616
,,,,,,,,,,,,,,,,,,,153,9349.014274602227,2669.8064533490483,1274.9846257567547
,,,,,,,,,,,,,,,,,,,154,9733.051995379512,2780.408331738652,1327.2129116311278
,,,,,,,,,,,,,,,,,,,155,9904.076793698996,2828.5406306674613,1349.7427604396808
,,,,,,,,,,,,,,,,,,,156,9808.83543894623,2800.8901610700605,1337.4537519986518
,,,,,,,,,,,,,,,,,,,157,9623.473232384393,2748.66149627497,1311.8516510798415
,,,,,,,,,,,,,,,,,,,158,9372.568588143233,2676.9750936150413,1277.0327938302594
,,,,,,,,,,,,,,,,,,,159,9218.95349983232,2632.939160552514,1256.5511130952111
,,,,,,,,,,,,,,,,,,,160,9222.025801598538,2633.9632520190844,1256.5511130952111
,,,,,,,,,,,,,,,,,,,161,9662.389054756492,2758.9024109406732,1317.996155300356
,,,,,,,,,,,,,,,,,,,162,10590.224188154412,3024.1421007824083,1443.9584918209027
,,,,,,,,,,,,,,,,,,,163,10667.03173230987,3046.6721130469577,1454.1993321884268
,,,,,,,,,,,,,,,,,,,164,10355.705153333083,2957.5761554553324,1411.1878026448255
,,,,,,,,,,,,,,,,,,,165,10038.23397082386,2867.456106397137,1369.2003571379764
,,,,,,,,,,,,,,,,,,,166,9555.88259352759,2729.203758410132,1302.6348947490699
,,,,,,,,,,,,,,,,,,,167,8940.398139695197,2553.060026160022,1218.660003735372
,,,,,,,,,,,,,,,,,,,168,8282.925561724482,2365.6512877776377,1129.564692537912
,,,,,,,,,,,,,,,,,,,169,7950.270675726091,2270.372252459587,1084.2297923237845
,,,,,,,,,,,,,,,,,,,170,7665.475911701212,2189.430283952005,1044.2581870768247
,,,,,,,,,,,,,,,,,,,171,7532.571688489602,2151.4575086027694,1027.270254846867
,,,,,,,,,,,,,,,,,,,172,7495.598333160056,2140.465389422727,1022.2738041909967
,,,,,,,,,,,,,,,,,,,173,7553.556565838804,2156.4539264118794,1029.2688351092147
,,,,,,,,,,,,,,,,,,,174,7773.3981380685345,2220.408074368487,1059.2475390444347
,,,,,,,,,,,,,,,,,,,175,8140.133851742677,2324.3335647979757,1109.2120456031344
,,,,,,,,,,,,,,,,,,,176,8588.810515066083,2452.241860711192,1170.168743604748
,,,,,,,,,,,,,,,,,,,177,9182.382760086355,2623.119349782754,1251.1112442298415
,,,,,,,,,,,,,,,,,,,178,9563.108391993299,2731.04197445953,1304.0736211820633
,,,,,,,,,,,,,,,,,,,179,9721.993891922966,2776.0097347415203,1325.0587139367174
,,,,,,,,,,,,,,,,,,,180,9774.95572523286,2791.998271730672,1332.0537448549353
,,,,,,,,,,,,,,,,,,,181,9734.984530282,2780.006868988808,1327.0572941990652
,,,,,,,,,,,,,,,,,,,182,9597.08390770153,2741.03481007775,1308.0707817067591
,,,,,,,,,,,,,,,,,,,183,9499.154480071922,2713.054870346734,1295.0800100014974
,,,,,,,,,,,,,,,,,,,184,9552.116313381814,2728.0441237740642,1302.0750409197153
,,,,,,,,,,,,,,,,,,,185,9967.816740870758,2846.9588676308827,1359.0345783966332
,,,,,,,,,,,,,,,,,,,186,10862.172227896253,3101.776175895493,1480.9479743998604
,,,,,,,,,,,,,,,,,,,187,10719.27520594693,3060.805549860791,1461.9614619075546
