Resource,MA_natural_gas,MA_natural_gas_CCS_retro,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery
Zone,1,1,1,1,2,2,2,3,3,3,1,2,3
t152,0.0,33.457930235809116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t153,2.0859960147711196,33.457930235809116,0.0,0.0,0.7214828799700215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t154,2.0859960147711196,33.457930235809116,0.0,0.0,2.5704864347543306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t155,2.0859960147711196,33.457930235809116,0.0,0.0,2.8851537173604624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t156,2.0859960147711196,33.457930235809116,0.0,0.0,2.8851537173604624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t157,2.0859960147711196,33.457930235809116,0.0,0.0,2.8851537173604624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t158,2.0859960147711196,33.457930235809116,0.0,0.0,2.8851537173604624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t159,2.0859960147711196,33.457930235809116,0.0,0.0,2.8851537173604624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t160,2.0859960147711196,33.457930235809116,0.0,0.0,2.8851537173604624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t161,2.0859960147711196,33.457930235809116,0.0,0.0,2.8851537173604624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t162,2.0859960147711196,33.457930235809116,0.0,0.0,2.8851537173604624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t163,2.0859960147711196,33.457930235809116,0.0,0.0,2.8851537173604624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t164,2.0859960147711196,33.457930235809116,0.0,0.0,2.8851537173604624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t165,2.0859960147711196,33.457930235809116,0.0,0.0,2.8851537173604624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t166,0.0,33.457930235809116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t167,0.0,33.457930235809116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t168,0.0,1.9477708668428488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t175,0.0,30.33535641643597,0.0,0.0,0.0,0.0,0.0,1.6167095414668589,0.0,0.0,0.0,0.0,0.0
t176,0.0,30.33535641643597,0.0,0.0,0.0,0.0,0.0,1.6167095414668589,0.0,0.0,0.0,0.0,0.0
t177,0.0,33.457930235809116,0.0,0.0,0.0,0.0,0.0,1.6167095414668589,0.0,0.0,0.0,0.0,0.0
t178,0.0,33.457930235809116,0.0,0.0,0.0,0.0,0.0,1.6167095414668589,0.0,0.0,0.0,0.0,0.0
t179,0.0,33.457930235809116,0.0,0.0,0.0,0.0,0.0,1.6167095414668589,0.0,0.0,0.0,0.0,0.0
t180,0.0,33.457930235809116,0.0,0.0,0.0,0.0,0.0,1.6167095414668589,0.0,0.0,0.0,0.0,0.0
t181,0.0,33.457930235809116,0.0,0.0,0.0,0.0,0.0,1.6167095414668589,0.0,0.0,0.0,0.0,0.0
t182,0.0,21.661194089454884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t183,0.0,21.661194089454884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t184,0.0,12.410182313422919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t185,0.0,12.410182313422919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t186,0.0,12.410182313422919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t187,0.0,12.410182313422919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
