Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Subperiods,Hours_per_period,Sub_Weights_1,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18
,,,,,,,,,,74,2868.462,7719.202179,4798.360538,11897.72752,3502.717942,11711.51649,15242.35135,11730.17179,5595.139867,2557.039742,4312.314678,22807.4224,2555.30325,3637.813376,7630.867569,17150.45152,11173.62271,25710.17217
,,,,,,,,,,75,2954.894,7648.268324,4768.307453,11758.90625,3498.759344,11718.24239,15438.40725,11661.54644,5638.786694,2554.149903,4365.331457,23536.0128,2633.509351,3723.94073,7804.925486,17562.91708,11179.12822,27158.79268
,,,,,,,,,,76,3044.5672,7593.92971,4797.336218,11612.274,3457.140619,11928.03702,16140.99411,11648.61096,5739.083751,2523.767572,4581.512199,24547.6368,2826.508206,3881.513796,8181.652662,18368.61647,11383.93107,29370.67498
,,,,,,,,,,77,3197.984,7682.879002,4928.183161,11657.99111,3519.792191,12560.79068,17405.96774,11796.86057,5972.224003,2569.504215,4954.565855,26452.5856,3192.749796,4201.544939,8852.767437,19785.47185,11893.60172,30510.39285
,,,,,,,,,,78,3548.0336,8289.465325,5421.565747,12576.14712,3806.461646,13836.91703,18218.73706,12653.45284,6436.674403,2778.777471,5214.279367,28093.296,3384.031862,4425.15314,9202.618172,20328.90831,12824.16504,30104.37009
,,,,,,,,,,79,3529.6668,9131.210813,6043.97377,14200.07548,4223.269266,14767.38163,18751.10515,13792.35782,6832.944941,3083.053655,5349.23304,27777.0944,3175.98469,4307.912794,9037.451375,19880.34421,13299.24419,29679.20368
,,,,,,,,,,80,3222.8332,9280.589719,6135.404442,14855.50193,4325.069657,14937.71278,18729.79754,13962.34453,6850.365284,3157.369558,5331.717922,25956.1712,2989.249303,4171.53467,8704.251269,19328.36067,13371.34651,29426.83471
,,,,,,,,,,81,2967.8588,9120.367941,5973.956307,14537.45007,4231.845494,14720.4003,18246.82522,13638.54138,6683.143234,3089.314438,5194.260205,23793.6176,2906.197329,4036.263138,8450.124304,18689.68714,13412.10985,28907.99063
,,,,,,,,,,82,2715.0452,8932.861072,5793.439855,14135.48107,4133.210043,14343.98596,17656.18803,13267.31262,6458.645517,3017.308992,5014.129399,22200.448,2798.801067,3940.470716,8259.664315,18037.98766,13481.87842,28378.21448
,,,,,,,,,,83,2545.4224,8732.19328,5600.124369,13758.97982,4025.537755,13985.1725,17108.87095,12893.47461,6233.529075,2938.706511,4845.074185,20940.064,2719.856192,3844.45466,8068.925695,17481.19504,13415.98401,28147.20778
