Time_Index,CT_NG,ME_NG,MA_NG,None
625,5.45,5.45,5.28,0
626,5.45,5.45,5.28,0
627,4.09,4.09,3.98,0
628,4.09,4.09,3.98,0
629,3.14,3.14,3.69,0
630,3.14,3.14,3.69,0
631,2.13,2.13,3.18,0
632,2.13,2.13,3.18,0
633,2.13,2.13,3.18,0
634,2.13,2.13,3.18,0
635,1.82,1.82,2.23,0
636,1.82,1.82,2.23,0
637,1.82,1.82,2.23,0
638,1.82,1.82,2.23,0
639,1.75,1.75,2.11,0
640,1.75,1.75,2.11,0
641,1.75,1.75,2.11,0
642,1.63,1.63,1.81,0
643,1.63,1.63,1.81,0
644,1.63,1.63,1.81,0
645,2.78,2.78,2.74,0
646,2.78,2.78,2.74,0
647,3.78,3.78,4.28,0
648,3.78,3.78,4.28,0
649,5.45,5.45,5.28,0
650,5.45,5.45,5.28,0
651,4.09,4.09,3.98,0
652,4.09,4.09,3.98,0
653,3.14,3.14,3.69,0
654,3.14,3.14,3.69,0
655,2.13,2.13,3.18,0
656,2.13,2.13,3.18,0
657,2.13,2.13,3.18,0
658,2.13,2.13,3.18,0
659,1.82,1.82,2.23,0
660,1.82,1.82,2.23,0
661,1.82,1.82,2.23,0
662,1.82,1.82,2.23,0
663,1.75,1.75,2.11,0
664,1.75,1.75,2.11,0
665,1.75,1.75,2.11,0
666,1.63,1.63,1.81,0
667,1.63,1.63,1.81,0
668,1.63,1.63,1.81,0
669,2.78,2.78,2.74,0
670,2.78,2.78,2.74,0
671,3.78,3.78,4.28,0
672,3.78,3.78,4.28,0
673,5.45,5.45,5.28,0
674,5.45,5.45,5.28,0
675,4.09,4.09,3.98,0
676,4.09,4.09,3.98,0
677,3.14,3.14,3.69,0
678,3.14,3.14,3.69,0
679,2.13,2.13,3.18,0
680,2.13,2.13,3.18,0
681,2.13,2.13,3.18,0
682,2.13,2.13,3.18,0
683,1.82,1.82,2.23,0
684,1.82,1.82,2.23,0
685,1.82,1.82,2.23,0
686,1.82,1.82,2.23,0
687,1.75,1.75,2.11,0
688,1.75,1.75,2.11,0
689,1.75,1.75,2.11,0
690,1.63,1.63,1.81,0
691,1.63,1.63,1.81,0
692,1.63,1.63,1.81,0
693,2.78,2.78,2.74,0
694,2.78,2.78,2.74,0
695,3.78,3.78,4.28,0
696,3.78,3.78,4.28,0
697,5.45,5.45,5.28,0
698,5.45,5.45,5.28,0
699,4.09,4.09,3.98,0
700,4.09,4.09,3.98,0
701,3.14,3.14,3.69,0
702,3.14,3.14,3.69,0
703,2.13,2.13,3.18,0
704,2.13,2.13,3.18,0
705,2.13,2.13,3.18,0
706,2.13,2.13,3.18,0
707,1.82,1.82,2.23,0
708,1.82,1.82,2.23,0
709,1.82,1.82,2.23,0
710,1.82,1.82,2.23,0
711,1.75,1.75,2.11,0
712,1.75,1.75,2.11,0
713,1.75,1.75,2.11,0
714,1.63,1.63,1.81,0
715,1.63,1.63,1.81,0
716,1.63,1.63,1.81,0
717,2.78,2.78,2.74,0
718,2.78,2.78,2.74,0
719,3.78,3.78,4.28,0
720,3.78,3.78,4.28,0
721,5.45,5.45,5.28,0
722,5.45,5.45,5.28,0
723,4.09,4.09,3.98,0
724,4.09,4.09,3.98,0
725,3.14,3.14,3.69,0
726,3.14,3.14,3.69,0
727,2.13,2.13,3.18,0
728,2.13,2.13,3.18,0
729,2.13,2.13,3.18,0
730,2.13,2.13,3.18,0
731,1.82,1.82,2.23,0
732,1.82,1.82,2.23,0
733,1.82,1.82,2.23,0
734,1.82,1.82,2.23,0
735,1.75,1.75,2.11,0
736,1.75,1.75,2.11,0
737,1.75,1.75,2.11,0
738,1.63,1.63,1.81,0
739,1.63,1.63,1.81,0
740,1.63,1.63,1.81,0
741,2.78,2.78,2.74,0
742,2.78,2.78,2.74,0
743,3.78,3.78,4.28,0
744,3.78,3.78,4.28,0
745,5.45,5.45,5.28,0
746,5.45,5.45,5.28,0
747,4.09,4.09,3.98,0
748,4.09,4.09,3.98,0
749,3.14,3.14,3.69,0
750,3.14,3.14,3.69,0
751,2.13,2.13,3.18,0
752,2.13,2.13,3.18,0
753,2.13,2.13,3.18,0
754,2.13,2.13,3.18,0
755,1.82,1.82,2.23,0
756,1.82,1.82,2.23,0
757,1.82,1.82,2.23,0
758,1.82,1.82,2.23,0
759,1.75,1.75,2.11,0
760,1.75,1.75,2.11,0
761,1.75,1.75,2.11,0
762,1.63,1.63,1.81,0
763,1.63,1.63,1.81,0
764,1.63,1.63,1.81,0
765,2.78,2.78,2.74,0
766,2.78,2.78,2.74,0
767,3.78,3.78,4.28,0
768,3.78,3.78,4.28,0
769,5.45,5.45,5.28,0
770,5.45,5.45,5.28,0
771,4.09,4.09,3.98,0
772,4.09,4.09,3.98,0
773,3.14,3.14,3.69,0
774,3.14,3.14,3.69,0
775,2.13,2.13,3.18,0
776,2.13,2.13,3.18,0
777,2.13,2.13,3.18,0
778,2.13,2.13,3.18,0
779,1.82,1.82,2.23,0
780,1.82,1.82,2.23,0
781,1.82,1.82,2.23,0
782,1.82,1.82,2.23,0
783,1.75,1.75,2.11,0
784,1.75,1.75,2.11,0
785,1.75,1.75,2.11,0
786,1.63,1.63,1.81,0
787,1.63,1.63,1.81,0
788,1.63,1.63,1.81,0
789,2.78,2.78,2.74,0
790,2.78,2.78,2.74,0
791,3.78,3.78,4.28,0
792,3.78,3.78,4.28,0
793,5.45,5.45,5.28,0
794,5.45,5.45,5.28,0
795,4.09,4.09,3.98,0
796,4.09,4.09,3.98,0
797,3.14,3.14,3.69,0
798,3.14,3.14,3.69,0
799,2.13,2.13,3.18,0
800,2.13,2.13,3.18,0
801,2.13,2.13,3.18,0
802,2.13,2.13,3.18,0
803,1.82,1.82,2.23,0
804,1.82,1.82,2.23,0
805,1.82,1.82,2.23,0
806,1.82,1.82,2.23,0
807,1.75,1.75,2.11,0
808,1.75,1.75,2.11,0
809,1.75,1.75,2.11,0
810,1.63,1.63,1.81,0
811,1.63,1.63,1.81,0
812,1.63,1.63,1.81,0
813,2.78,2.78,2.74,0
814,2.78,2.78,2.74,0
815,3.78,3.78,4.28,0
816,3.78,3.78,4.28,0
817,5.45,5.45,5.28,0
818,5.45,5.45,5.28,0
819,4.09,4.09,3.98,0
820,4.09,4.09,3.98,0
821,3.14,3.14,3.69,0
822,3.14,3.14,3.69,0
823,2.13,2.13,3.18,0
824,2.13,2.13,3.18,0
825,2.13,2.13,3.18,0
826,2.13,2.13,3.18,0
827,1.82,1.82,2.23,0
828,1.82,1.82,2.23,0
829,1.82,1.82,2.23,0
830,1.82,1.82,2.23,0
831,1.75,1.75,2.11,0
