,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t965,11512.799793952001,0.0007632567479482419,-0.0009034323957900416,0.0,-0.0,0.0,-4.59067056946568e-7,0.0,0.0,-11512.799653323982
t966,11651.6697672813,0.0007633016381402686,-0.0009034489165672916,0.0,-0.0,0.0,-4.590445276834648e-7,0.0,0.0,-11651.669626681605
t967,12132.447191772271,0.0007634782013000919,-0.0009031126832399227,0.0,-0.0,0.0,-4.59046840442983e-7,0.0,0.0,-12132.447051685233
t968,13084.424801055144,0.0007639413085363923,-0.0009023938203791131,0.0,-0.0,0.0,-4.590342613689752e-7,0.0,0.0,-13084.424662150588
t969,14369.690346944899,0.0007640440261897686,-0.0009018630032072358,0.0,-0.0,0.0,-4.59035931638055e-7,0.0,0.0,-14369.690208674238
t970,15520.874540309467,0.0007639656505440481,-0.000902212401355262,0.0,-0.0,0.0,-4.590317855542565e-7,0.0,0.0,-15520.874401611216
t971,16378.037480359253,0.0007637362950026076,-0.0009030324927544531,0.0,-0.0,0.0,-4.5903439676293143e-7,0.0,0.0,-16378.037340611712
t972,17077.175966387174,0.0007638949858703153,-0.0009026601085083766,0.0,-0.0,0.0,-4.5903578685735725e-7,0.0,0.0,-17077.175827170777
t973,17615.416828844707,0.0007639305567019366,-0.0009028981678507745,0.0,-0.0,0.0,-4.590379300377364e-7,0.0,0.0,-17615.416689425838
t974,18058.843019700587,0.0007638512334860844,-0.0009028845275811452,0.0,-0.0,0.0,-4.5904025492543107e-7,0.0,0.0,-18058.84288021604
t975,18487.903350676163,0.0007639825151640546,-0.0009025140472120201,0.0,-0.0,0.0,-4.590400335324995e-7,0.0,0.0,-18487.903211693378
t976,18827.89535327837,0.0007643499751593605,-0.0009017459752459384,0.0,-0.0,0.0,-4.5903523877792046e-7,0.0,0.0,-18827.895215431006
t977,19054.875929043545,0.0007648427652378073,-0.0009008606421576062,0.0,-0.0,0.0,-4.59032087213532e-7,0.0,0.0,-19054.87579257416
t978,19077.861303489077,0.0007649366854987474,-0.0009004994145654726,0.0,-0.0,0.0,-4.590285092921056e-7,0.0,0.0,-19077.86116747473
t979,18712.968478665298,0.0007640652091563379,-0.0009013506931902079,0.0,-0.0,0.0,-4.5902669259279185e-7,0.0,0.0,-18712.96834092815
t980,18051.181228164623,0.0007633228653317829,-0.0009024533494231575,0.0,-0.0,0.0,-4.5902536226327575e-7,0.0,0.0,-18051.181088582514
t981,17746.625010380223,0.0007636071613312343,-0.0009023859208822572,0.0,-0.0,0.0,-4.590370719722835e-7,0.0,0.0,-17746.624871149936
t982,17314.691506327188,0.0007639142348639951,-0.0009019800463999347,0.0,-0.0,0.0,-4.59035074305098e-7,0.0,0.0,-17314.69136781002
t983,16014.102377621906,0.0007638164960803828,-0.0009029675223757035,0.0,-0.0,0.0,-4.590331991128758e-7,0.0,0.0,-16014.102238019323
t984,14559.319690963735,0.0007635671862155429,-0.0009024750197157602,0.0,-0.0,0.0,-4.5903130056067795e-7,0.0,0.0,-14559.319551603956
t985,13350.672060080926,0.0007636262900459511,-0.0009018393547176715,0.0,-0.0,0.0,-4.590323366693663e-7,0.0,0.0,-13350.671921415547
t986,12497.340017656737,0.0007634541200249627,-0.0009024264449041587,0.0,-0.0,0.0,-4.590407067816109e-7,0.0,0.0,-12497.339878231813
t987,11913.128406066218,0.0007633364915742841,-0.0009027742580877085,0.0,-0.0,0.0,-4.5904791640052327e-7,0.0,0.0,-11913.12826617561
t988,11529.08110064311,0.0007633089569859474,-0.0009029537921597884,0.0,-0.0,0.0,-4.5904973343881003e-7,0.0,0.0,-11529.08096054522
t989,11312.635487309028,0.0007632170213386595,-0.000903174692342613,0.0,-0.0,0.0,-4.59053776393229e-7,0.0,0.0,-11312.635346898165
t990,11145.033796453929,0.0007628044563421005,-0.0009038904046328216,0.0,-0.0,0.0,-4.590416428296016e-7,0.0,0.0,-11145.03365491483
t991,11462.040424769137,0.0007630688059995546,-0.0009036329306429402,0.0,-0.0,0.0,-4.59042497642138e-7,0.0,0.0,-11462.040283751885
t992,12529.902631839002,0.0007637929577260137,-0.0009025047764937806,0.0,-0.0,0.0,-4.5904052405543927e-7,0.0,0.0,-12529.902492674291
t993,14004.797520324402,0.0007640228778376024,-0.0009017672440188308,0.0,-0.0,0.0,-4.590418897890874e-7,0.0,0.0,-14004.797382127657
