Resource,ngcc,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
t1241,0.0,0.0,0.0,0.0,0.002178819235894148,0.002178819235894148
t1242,0.0,0.0,0.0,0.0,0.002173829843824392,0.002173829843824392
t1243,0.0,0.0,0.0,0.0,0.002175587628578698,0.002175587628578698
t1244,0.0,0.0,0.0,0.0,0.0021767937373689877,0.0021767937373689877
t1245,0.0,0.0,0.0,0.0,0.002176515533594049,0.002176515533594049
t1246,0.0,0.0,0.0,0.0,0.0021772073062196755,0.0021772073062196755
t1247,0.0,0.0,0.0,0.0,0.002177473192433826,0.002177473192433826
t1248,0.0,0.0,0.0,0.0,0.0021777927150339067,0.0021777927150339067
t1249,0.0,0.0,0.0,0.0,0.002178396378638935,0.002178396378638935
t1250,0.0,0.0,0.0,0.0,0.00217878240743552,0.00217878240743552
t1251,0.0,0.0,0.0,0.0,0.002179224166103207,0.002179224166103207
t1252,0.0,0.0,0.0,0.0,0.002179425409191892,0.002179425409191892
t1253,0.0,0.0,0.0,0.0,0.002179420737826101,0.002179420737826101
t1254,0.0,0.0,0.0,0.0,0.0021785718308646694,0.0021785718308646694
t1255,0.0,0.0,0.0,0.0,0.002176764708756284,0.002176764708756284
t1256,0.0,0.0,0.0,0.0,0.0021763459639357954,0.0021763459639357954
t1257,0.0,0.0,0.0,0.0,0.0021769165298712516,0.0021769165298712516
t1258,0.0,0.0,0.0,0.0,0.002177141355069501,0.002177141355069501
t1259,0.0,0.0,0.0,0.0,0.0021772497950603743,0.0021772497950603743
t1260,0.0,0.0,0.0,0.0,0.0021774008844493873,0.0021774008844493873
t1261,0.0,0.0,0.0,0.0,0.0021778448395709123,0.0021778448395709123
t1262,0.0,0.0,0.0,0.0,0.0021776676774530154,0.0021776676774530154
t1263,0.0,0.0,0.0,0.0,0.002178537159742854,0.002178537159742854
t1264,0.0,0.0,0.0,0.0,0.0021795464443906554,0.0021795464443906554
t1265,0.0,0.0,0.0,0.0,0.002178107344698821,0.002178107344698821
t1266,0.0,0.0,0.0,0.0,0.002173326095137885,0.002173326095137885
t1267,0.0,0.0,0.0,0.0,0.002174438414328794,0.002174438414328794
t1268,0.0,0.0,0.0,0.0,0.002175796953039856,0.002175796953039856
t1269,0.0,0.0,0.0,0.0,0.0021764315038335686,0.0021764315038335686
t1270,0.0,0.0,0.0,0.0,0.002177088358086431,0.002177088358086431
t1271,0.0,0.0,0.0,0.0,0.002177264127396847,0.002177264127396847
