Resource,NGCC_bf,NGCC_gf,NGCT_bf,NGCT_gf,SolarPV,Retro_NGCC_CCS,Retro_NGCC_H2
t325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t326,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t327,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t329,0.0,0.0,0.0,0.0,0.0,0.0,8.128124999999999
t330,0.0,172.33816159999998,0.0,0.0,0.0,0.0,14.449999999999998
t331,0.0,172.33816159999998,0.0,0.0,0.0,0.0,14.45
t332,0.0,172.33816159999998,0.0,0.0,0.0,0.0,14.45
t333,0.0,172.33816159999998,0.0,0.0,0.0,0.0,14.45
t334,0.0,172.33816159999998,0.0,0.0,0.0,0.0,14.45
t335,0.0,172.33816159999998,0.0,0.0,0.0,0.0,14.45
t336,0.0,172.33816159999998,0.0,0.0,0.0,0.0,14.45
t337,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t338,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t339,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t340,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t341,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t342,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t343,0.0,0.0,0.0,0.0,0.0,0.0,13.005
t344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t345,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t346,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t348,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t349,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t350,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t351,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t352,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t354,0.0,0.0,0.0,0.0,0.0,0.0,8.128125
t355,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t356,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t357,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t358,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t359,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t360,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t361,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t362,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t363,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t364,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t365,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t366,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t367,0.0,0.0,0.0,0.0,0.0,0.0,13.004999999999997
t368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t369,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t370,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t371,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t372,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t373,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t374,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t376,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t377,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t378,0.0,0.0,0.0,0.0,0.0,0.0,8.128125
t379,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t380,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t381,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t382,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t383,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t384,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t385,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t386,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t387,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t388,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t389,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t390,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t391,0.0,0.0,0.0,0.0,0.0,0.0,13.005
t392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t393,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t395,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t396,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t397,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t398,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t399,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t401,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t402,0.0,0.0,0.0,0.0,0.0,0.0,8.128125
t403,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t404,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t405,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t406,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t407,0.0,0.0,0.0,0.0,0.0,0.0,14.45
t408,0.0,0.0,0.0,0.0,0.0,0.0,14.45
