Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv_1,MA_solar_pv_2,CT_natural_gas_combined_cycle,CT_onshore_wind_1,CT_onshore_wind_2,CT_solar_pv_1,CT_solar_pv_2,ME_natural_gas_combined_cycle,ME_onshore_wind_1,ME_onshore_wind_2,MA_battery,CT_battery,ME_battery
182,1,0.5964,0.5964,1,0.809754848,0.809754848,0.508,0.508,1,0.438009381,0.438009381,1,1,1
183,1,0.5111,0.5111,1,0.920710862,0.920710862,0.4839,0.4839,1,0.587767482,0.587767482,1,1,1
184,1,0.3605,0.3605,1,0.424674869,0.424674869,0.3378,0.3378,1,0.65806514,0.65806514,1,1,1
185,1,0.1202,0.1202,1,0.673590124,0.673590124,0.1348,0.1348,1,0.666335702,0.666335702,1,1,1
186,1,0,0,1,0.722590208,0.722590208,0,0,1,0.702498555,0.702498555,1,1,1
187,1,0,0,1,0.807032704,0.807032704,0,0,1,0.735339999,0.735339999,1,1,1
188,1,0,0,1,0.794338346,0.794338346,0,0,1,0.639792442,0.639792442,1,1,1
189,1,0,0,1,0.920866907,0.920866907,0,0,1,0.592087984,0.592087984,1,1,1
190,1,0,0,1,0.775906444,0.775906444,0,0,1,0.523823261,0.523823261,1,1,1
191,1,0,0,1,0.790116549,0.790116549,0,0,1,0.516953051,0.516953051,1,1,1
192,1,0,0,1,0.313982964,0.313982964,0,0,1,0.425170183,0.425170183,1,1,1
193,1,0,0,1,0.228863105,0.228863105,0,0,1,0.42695722,0.42695722,1,1,1
194,1,0,0,1,0.186610132,0.186610132,0,0,1,0.299720883,0.299720883,1,1,1
195,1,0,0,1,0.168072969,0.168072969,0,0,1,0.244982213,0.244982213,1,1,1
196,1,0,0,1,0.099481188,0.099481188,0,0,1,0.266644388,0.266644388,1,1,1
197,1,0,0,1,0.07131198,0.07131198,0,0,1,0.336548865,0.336548865,1,1,1
198,1,0,0,1,0.141474232,0.141474232,0,0,1,0.403077483,0.403077483,1,1,1
199,1,0,0,1,0.174716681,0.174716681,0,0,1,0.409066558,0.409066558,1,1,1
200,1,0,0,1,0.109989181,0.109989181,0,0,1,0.39652282,0.39652282,1,1,1
201,1,0.1584,0.1584,1,0.090794012,0.090794012,0.1776,0.1776,1,0.398093283,0.398093283,1,1,1
202,1,0.3603,0.3603,1,0.030788897,0.030788897,0.3604,0.3604,1,0.361599565,0.361599565,1,1,1
203,1,0.4586,0.4586,1,0.016659057,0.016659057,0.4766,0.4766,1,0.296996891,0.296996891,1,1,1
204,1,0.4847,0.4847,1,0.026496863,0.026496863,0.5273,0.5273,1,0.182485133,0.182485133,1,1,1
205,1,0.5907,0.5907,1,0.016100235,0.016100235,0.6539,0.6539,1,0.123761773,0.123761773,1,1,1
206,1,0.7654,0.7654,1,0.063318081,0.063318081,0.7914,0.7914,1,0.1468952,0.1468952,1,1,1
207,1,0.5757,0.5757,1,0.212307662,0.212307662,0.5949,0.5949,1,0.240729049,0.240729049,1,1,1
208,1,0.4019,0.4019,1,0.184758514,0.184758514,0.4277,0.4277,1,0.319725215,0.319725215,1,1,1
209,1,0.1541,0.1541,1,0.409239978,0.409239978,0.1815,0.1815,1,0.499451488,0.499451488,1,1,1
210,1,0,0,1,0.85537678,0.85537678,0,0,1,0.735057831,0.735057831,1,1,1
211,1,0,0,1,0.717418909,0.717418909,0,0,1,0.768220544,0.768220544,1,1,1
212,1,0,0,1,0.363580614,0.363580614,0,0,1,0.875060856,0.875060856,1,1,1
213,1,0,0,1,0.317670733,0.317670733,0,0,1,0.820344567,0.820344567,1,1,1
214,1,0,0,1,0.271577805,0.271577805,0,0,1,0.910065353,0.910065353,1,1,1
215,1,0,0,1,0.311569244,0.311569244,0,0,1,0.957307518,0.957307518,1,1,1
216,1,0,0,1,0.221334517,0.221334517,0,0,1,0.946516454,0.946516454,1,1,1
217,1,0,0,1,0.171090662,0.171090662,0,0,1,0.934381068,0.934381068,1,1,1
218,1,0,0,1,0.079606064,0.079606064,0,0,1,0.913996696,0.913996696,1,1,1
219,1,0,0,1,0.189559758,0.189559758,0,0,1,0.945908904,0.945908904,1,1,1
220,1,0,0,1,0.259287894,0.259287894,0,0,1,0.926405728,0.926405728,1,1,1
221,1,0,0,1,0.127237305,0.127237305,0,0,1,0.849615216,0.849615216,1,1,1
222,1,0,0,1,0.17743887,0.17743887,0,0,1,0.885867298,0.885867298,1,1,1
223,1,0,0,1,0.27053991,0.27053991,0,0,1,0.903562665,0.903562665,1,1,1
224,1,0,0,1,0.18752566,0.18752566,0,0,1,0.900292158,0.900292158,1,1,1
225,1,0.1709,0.1709,1,0.695573568,0.695573568,0.1778,0.1778,1,0.789421737,0.789421737,1,1,1
226,1,0.3428,0.3428,1,0.131348357,0.131348357,0.3614,0.3614,1,0.802557707,0.802557707,1,1,1
227,1,0.4545,0.4545,1,0.239212155,0.239212155,0.4885,0.4885,1,0.730632544,0.730632544,1,1,1
228,1,0.5223,0.5223,1,0.310001045,0.310001045,0.5863,0.5863,1,0.699638247,0.699638247,1,1,1
229,1,0.5971,0.5971,1,0.416327089,0.416327089,0.5876,0.5876,1,0.509494543,0.509494543,1,1,1
230,1,0.6098,0.6098,1,0.421913445,0.421913445,0.5302,0.5302,1,0.48682785,0.48682785,1,1,1
231,1,0.5176,0.5176,1,0.579014182,0.579014182,0.4279,0.4279,1,0.620525122,0.620525122,1,1,1
232,1,0.3503,0.3503,1,0.643352985,0.643352985,0.2873,0.2873,1,0.686781466,0.686781466,1,1,1
233,1,0.1105,0.1105,1,0.790205538,0.790205538,0.1142,0.1142,1,0.834916592,0.834916592,1,1,1
234,1,0,0,1,0.734749496,0.734749496,0,0,1,0.961258769,0.961258769,1,1,1
235,1,0,0,1,0.901278973,0.901278973,0,0,1,0.985307395,0.985307395,1,1,1
236,1,0,0,1,0.443615586,0.443615586,0,0,1,0.975257516,0.975257516,1,1,1
237,1,0,0,1,0.563726008,0.563726008,0,0,1,0.99187088,0.99187088,1,1,1
238,1,0,0,1,0.776801109,0.776801109,0,0,1,0.995504022,0.995504022,1,1,1
239,1,0,0,1,0.593942106,0.593942106,0,0,1,0.938395023,0.938395023,1,1,1
240,1,0,0,1,0.759970427,0.759970427,0,0,1,0.930854142,0.930854142,1,1,1
241,1,0,0,1,0.504448533,0.504448533,0,0,1,0.889441252,0.889441252,1,1,1
242,1,0,0,1,0.487716585,0.487716585,0,0,1,0.884310007,0.884310007,1,1,1
243,1,0,0,1,0.197554901,0.197554901,0,0,1,0.762876272,0.762876272,1,1,1
244,1,0,0,1,0.051789507,0.051789507,0,0,1,0.630009115,0.630009115,1,1,1
245,1,0,0,1,0.297564685,0.297564685,0,0,1,0.414530814,0.414530814,1,1,1
246,1,0,0,1,0.620805919,0.620805919,0,0,1,0.377632737,0.377632737,1,1,1
247,1,0,0,1,0.506251514,0.506251514,0,0,1,0.347323477,0.347323477,1,1,1
248,1,0,0,1,0.369528323,0.369528323,0,0,1,0.218754575,0.218754575,1,1,1
249,1,0.1904,0.1904,1,0.075398572,0.075398572,0.1817,0.1817,1,0.348196238,0.348196238,1,1,1
250,1,0.3998,0.3998,1,0.052092776,0.052092776,0.3776,0.3776,1,0.275951982,0.275951982,1,1,1
251,1,0.5013,0.5013,1,0.000912532,0.000912532,0.5216,0.5216,1,0.167353988,0.167353988,1,1,1
252,1,0.5482,0.5482,1,0.003804801,0.003804801,0.6342,0.6342,1,0.096209385,0.096209385,1,1,1
253,1,0.5471,0.5471,1,0.004665192,0.004665192,0.6809,0.6809,1,0.024136219,0.024136219,1,1,1
254,1,0.5638,0.5638,1,0.034942862,0.034942862,0.6637,0.6637,1,0.017962135,0.017962135,1,1,1
