,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t172,10649.004481814676,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10649.004481814676
t173,10783.486030731074,9.135424229999245,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10792.621454961074
t174,10757.424363814014,367.06874530968213,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11124.493109123696
t175,10573.616566966832,1087.499421548472,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11661.115988515305
t176,12255.961965128428,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12255.961965128428
t177,13092.433795210827,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13092.433795210827
t178,60396.83684935533,0.0,-46700.82361294816,0.0,-0.0,0.0,0.0,0.0,0.0,-13696.013236407176
t179,13993.92141719058,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13993.92141719058
t180,14058.937209087937,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14058.937209087937
t181,61180.93813758887,0.0,-47181.19441067614,0.0,-0.0,0.0,0.0,0.0,0.0,-13999.743726912731
t182,13847.393289183108,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13847.393289183108
t183,60877.20764708331,0.0,-47181.19441067614,0.0,-0.0,0.0,0.0,0.0,0.0,-13696.013236407176
t184,13771.703262795141,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13771.703262795141
t185,14354.904619963958,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14354.904619963958
t186,15639.784532647807,47.45862873510376,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15687.243161382909
t187,10745.166394726055,5478.699646048463,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16223.866040774521
t188,10176.276683305496,5769.088875759452,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15945.365559064949
t189,10553.03885908666,4834.355351605458,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15387.394210692119
t190,6748.20763324443,7717.320871440406,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14465.528504684835
t191,3794.3098232007724,9619.321391682068,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13413.631214882838
t192,4482.734611549743,7931.400101030459,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12414.134712580202
t193,4513.922077426575,7221.913552523004,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11735.835629949579
t194,4223.717639265759,7179.275951567507,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11402.993590833265
t195,5704.897406531745,5566.123830599425,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11271.02123713117
t196,8509.6861995225,2789.476201265735,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11299.162400788235
t197,9720.856016327218,1908.2372687162542,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11629.093285043473
t198,9947.869932234644,2672.9567754819286,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12620.826707716573
t199,9902.551445852072,4529.013585453547,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14431.56503130562
t200,8590.98271661906,6724.60300749986,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15315.58572411892
t201,15382.54228592366,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15382.54228592366
t202,15289.38533036924,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15289.38533036924
