Zone,1,2,3
t232,71.94184620526848,72.83263176912496,70.54167157602086
t233,71.94184620526848,72.83263176912496,70.54167157602086
t234,71.94184620526848,72.83263176912496,70.54167157602086
t235,71.94184620526848,72.83263176912496,70.54167157602086
t236,57.915641275984036,58.63275405375369,56.78845291721072
t237,57.915641275984036,58.63275405375369,56.78845291721072
t238,29.461611057495155,29.826405390727725,28.88821181191887
t239,29.461611057495155,29.826405390727725,28.88821181191887
t240,29.461611057495155,29.826405390727725,28.88821181191887
t241,29.461611057495155,29.82640539072773,28.888211811918875
t242,29.46161105749514,29.826405390727743,28.888211811918865
t243,29.461611057495155,29.826405390727725,28.88821181191887
t244,29.461611057495155,29.82640539072773,28.888211811918875
t245,29.461611057495155,29.826405390727725,28.88821181191887
t246,29.461611057495155,29.826405390727725,28.88821181191887
t247,29.461611057495155,29.826405390727725,28.88821181191887
t248,29.46161105749515,29.82640539072773,28.888211811918882
t249,34.832413381707774,35.26370911056877,34.154484414561516
