Time_Index,NGCC_bf,NGCC_gf,NGCT_bf,NGCT_gf,SolarPV,Retro_NGCC_CCS,Retro_NGCC_H2
264,1.0,1.0,1.0,1.0,0.0,1.0,1.0
265,1.0,1.0,1.0,1.0,0.0,1.0,1.0
266,1.0,1.0,1.0,1.0,0.0,1.0,1.0
267,1.0,1.0,1.0,1.0,0.0,1.0,1.0
268,1.0,1.0,1.0,1.0,0.0,1.0,1.0
269,1.0,1.0,1.0,1.0,0.0,1.0,1.0
270,1.0,1.0,1.0,1.0,0.0,1.0,1.0
271,1.0,1.0,1.0,1.0,0.0,1.0,1.0
272,1.0,1.0,1.0,1.0,0.0,1.0,1.0
273,1.0,1.0,1.0,1.0,0.1455,1.0,1.0
274,1.0,1.0,1.0,1.0,0.2427,1.0,1.0
275,1.0,1.0,1.0,1.0,0.3104,1.0,1.0
276,1.0,1.0,1.0,1.0,0.3464,1.0,1.0
277,1.0,1.0,1.0,1.0,0.3283,1.0,1.0
278,1.0,1.0,1.0,1.0,0.2946,1.0,1.0
279,1.0,1.0,1.0,1.0,0.2536,1.0,1.0
280,1.0,1.0,1.0,1.0,0.175,1.0,1.0
281,1.0,1.0,1.0,1.0,0.034,1.0,1.0
282,1.0,1.0,1.0,1.0,0.0,1.0,1.0
283,1.0,1.0,1.0,1.0,0.0,1.0,1.0
284,1.0,1.0,1.0,1.0,0.0,1.0,1.0
285,1.0,1.0,1.0,1.0,0.0,1.0,1.0
286,1.0,1.0,1.0,1.0,0.0,1.0,1.0
287,1.0,1.0,1.0,1.0,0.0,1.0,1.0
288,1.0,1.0,1.0,1.0,0.0,1.0,1.0
289,1.0,1.0,1.0,1.0,0.0,1.0,1.0
290,1.0,1.0,1.0,1.0,0.0,1.0,1.0
291,1.0,1.0,1.0,1.0,0.0,1.0,1.0
292,1.0,1.0,1.0,1.0,0.0,1.0,1.0
293,1.0,1.0,1.0,1.0,0.0,1.0,1.0
294,1.0,1.0,1.0,1.0,0.0,1.0,1.0
295,1.0,1.0,1.0,1.0,0.0,1.0,1.0
296,1.0,1.0,1.0,1.0,0.0,1.0,1.0
297,1.0,1.0,1.0,1.0,0.2753,1.0,1.0
298,1.0,1.0,1.0,1.0,0.4988,1.0,1.0
299,1.0,1.0,1.0,1.0,0.6555,1.0,1.0
300,1.0,1.0,1.0,1.0,0.727,1.0,1.0
301,1.0,1.0,1.0,1.0,0.7355,1.0,1.0
302,1.0,1.0,1.0,1.0,0.7286,1.0,1.0
303,1.0,1.0,1.0,1.0,0.6589,1.0,1.0
304,1.0,1.0,1.0,1.0,0.4977,1.0,1.0
305,1.0,1.0,1.0,1.0,0.2796,1.0,1.0
306,1.0,1.0,1.0,1.0,0.0,1.0,1.0
307,1.0,1.0,1.0,1.0,0.0,1.0,1.0
308,1.0,1.0,1.0,1.0,0.0,1.0,1.0
309,1.0,1.0,1.0,1.0,0.0,1.0,1.0
310,1.0,1.0,1.0,1.0,0.0,1.0,1.0
311,1.0,1.0,1.0,1.0,0.0,1.0,1.0
312,1.0,1.0,1.0,1.0,0.0,1.0,1.0
313,1.0,1.0,1.0,1.0,0.0,1.0,1.0
314,1.0,1.0,1.0,1.0,0.0,1.0,1.0
315,1.0,1.0,1.0,1.0,0.0,1.0,1.0
316,1.0,1.0,1.0,1.0,0.0,1.0,1.0
317,1.0,1.0,1.0,1.0,0.0,1.0,1.0
318,1.0,1.0,1.0,1.0,0.0,1.0,1.0
319,1.0,1.0,1.0,1.0,0.0,1.0,1.0
320,1.0,1.0,1.0,1.0,0.0,1.0,1.0
321,1.0,1.0,1.0,1.0,0.2573,1.0,1.0
322,1.0,1.0,1.0,1.0,0.4428,1.0,1.0
323,1.0,1.0,1.0,1.0,0.5817,1.0,1.0
324,1.0,1.0,1.0,1.0,0.5987,1.0,1.0
325,1.0,1.0,1.0,1.0,0.6564,1.0,1.0
326,1.0,1.0,1.0,1.0,0.6124,1.0,1.0
327,1.0,1.0,1.0,1.0,0.5068,1.0,1.0
328,1.0,1.0,1.0,1.0,0.4084,1.0,1.0
329,1.0,1.0,1.0,1.0,0.2368,1.0,1.0
330,1.0,1.0,1.0,1.0,0.0,1.0,1.0
331,1.0,1.0,1.0,1.0,0.0,1.0,1.0
332,1.0,1.0,1.0,1.0,0.0,1.0,1.0
333,1.0,1.0,1.0,1.0,0.0,1.0,1.0
334,1.0,1.0,1.0,1.0,0.0,1.0,1.0
335,1.0,1.0,1.0,1.0,0.0,1.0,1.0
336,1.0,1.0,1.0,1.0,0.0,1.0,1.0
337,1.0,1.0,1.0,1.0,0.0,1.0,1.0
338,1.0,1.0,1.0,1.0,0.0,1.0,1.0
339,1.0,1.0,1.0,1.0,0.0,1.0,1.0
340,1.0,1.0,1.0,1.0,0.0,1.0,1.0
341,1.0,1.0,1.0,1.0,0.0,1.0,1.0
342,1.0,1.0,1.0,1.0,0.0,1.0,1.0
343,1.0,1.0,1.0,1.0,0.0445,1.0,1.0
344,1.0,1.0,1.0,1.0,0.2149,1.0,1.0
345,1.0,1.0,1.0,1.0,0.3872,1.0,1.0
