Time_Index,ng,coal,biomass,nuclear,None
559,3.6,1.95,1.02,0.66,0
560,3.6,1.95,1.02,0.66,0
561,3.6,1.95,1.02,0.66,0
562,3.6,1.95,1.02,0.66,0
563,3.6,1.95,1.02,0.66,0
564,3.6,1.95,1.02,0.66,0
565,3.6,1.95,1.02,0.66,0
566,3.6,1.95,1.02,0.66,0
567,3.6,1.95,1.02,0.66,0
568,3.6,1.95,1.02,0.66,0
569,3.6,1.95,1.02,0.66,0
570,3.6,1.95,1.02,0.66,0
571,3.6,1.95,1.02,0.66,0
572,3.6,1.95,1.02,0.66,0
573,3.6,1.95,1.02,0.66,0
574,3.6,1.95,1.02,0.66,0
575,3.6,1.95,1.02,0.66,0
576,3.6,1.95,1.02,0.66,0
577,3.6,1.95,1.02,0.66,0
578,3.6,1.95,1.02,0.66,0
579,3.6,1.95,1.02,0.66,0
580,3.6,1.95,1.02,0.66,0
581,3.6,1.95,1.02,0.66,0
582,3.6,1.95,1.02,0.66,0
583,3.6,1.95,1.02,0.66,0
584,3.6,1.95,1.02,0.66,0
585,3.6,1.95,1.02,0.66,0
586,3.6,1.95,1.02,0.66,0
587,3.6,1.95,1.02,0.66,0
588,3.6,1.95,1.02,0.66,0
589,3.6,1.95,1.02,0.66,0
590,3.6,1.95,1.02,0.66,0
591,3.6,1.95,1.02,0.66,0
592,3.6,1.95,1.02,0.66,0
593,3.6,1.95,1.02,0.66,0
594,3.6,1.95,1.02,0.66,0
595,3.6,1.95,1.02,0.66,0
596,3.6,1.95,1.02,0.66,0
597,3.6,1.95,1.02,0.66,0
598,3.6,1.95,1.02,0.66,0
599,3.6,1.95,1.02,0.66,0
600,3.6,1.95,1.02,0.66,0
601,3.6,1.95,1.02,0.66,0
602,3.6,1.95,1.02,0.66,0
603,3.6,1.95,1.02,0.66,0
604,3.6,1.95,1.02,0.66,0
605,3.6,1.95,1.02,0.66,0
606,3.6,1.95,1.02,0.66,0
607,3.6,1.95,1.02,0.66,0
608,3.6,1.95,1.02,0.66,0
609,3.6,1.95,1.02,0.66,0
610,3.6,1.95,1.02,0.66,0
611,3.6,1.95,1.02,0.66,0
612,3.6,1.95,1.02,0.66,0
613,3.6,1.95,1.02,0.66,0
614,3.6,1.95,1.02,0.66,0
615,3.6,1.95,1.02,0.66,0
616,3.6,1.95,1.02,0.66,0
617,3.6,1.95,1.02,0.66,0
618,3.6,1.95,1.02,0.66,0
619,3.6,1.95,1.02,0.66,0
620,3.6,1.95,1.02,0.66,0
621,3.6,1.95,1.02,0.66,0
622,3.6,1.95,1.02,0.66,0
623,3.6,1.95,1.02,0.66,0
624,3.6,1.95,1.02,0.66,0
625,3.6,1.95,1.02,0.66,0
