Time_Index,MA_natural_gas,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery
172,1.0,0.830768526,0.0,1.0,0.830768526,0.0,1.0,0.47861889,0.0,1.0,1.0,1.0
173,1.0,0.83575666,0.0,1.0,0.83575666,0.0,1.0,0.53229326,0.0,1.0,1.0,1.0
174,1.0,0.720085979,0.0,1.0,0.720085979,0.0,1.0,0.62505722,0.0,1.0,1.0,1.0
175,1.0,0.254879028,0.0551,1.0,0.254879028,0.0809,1.0,0.544284105,0.0551,1.0,1.0,1.0
176,1.0,0.188441843,0.2308,1.0,0.188441843,0.2562,1.0,0.43602246,0.2308,1.0,1.0,1.0
177,1.0,0.006096345,0.4115,1.0,0.006096345,0.4358,1.0,0.264100283,0.4115,1.0,1.0,1.0
178,1.0,0.002578969,0.5502,1.0,0.002578969,0.5661,1.0,0.226219833,0.5502,1.0,1.0,1.0
179,1.0,0.028644908,0.6653,1.0,0.028644908,0.6522,1.0,0.40397507,0.6653,1.0,1.0,1.0
180,1.0,0.275457084,0.6636,1.0,0.275457084,0.6494,1.0,0.63357091,0.6636,1.0,1.0,1.0
181,1.0,0.502558708,0.6573,1.0,0.502558708,0.6072,1.0,0.848846376,0.6573,1.0,1.0,1.0
182,1.0,0.360116273,0.6282,1.0,0.360116273,0.5521,1.0,0.941271544,0.6282,1.0,1.0,1.0
183,1.0,0.600508273,0.5712,1.0,0.600508273,0.5665,1.0,0.905256033,0.5712,1.0,1.0,1.0
184,1.0,0.835470736,0.4475,1.0,0.835470736,0.5059,1.0,0.905872762,0.4475,1.0,1.0,1.0
185,1.0,0.994439244,0.3088,1.0,0.994439244,0.3336,1.0,0.938071132,0.3088,1.0,1.0,1.0
186,1.0,0.899679601,0.1392,1.0,0.899679601,0.1808,1.0,0.924881101,0.1392,1.0,1.0,1.0
187,1.0,0.816437781,0.0306,1.0,0.816437781,0.0559,1.0,0.930782199,0.0306,1.0,1.0,1.0
188,1.0,0.434419274,0.0,1.0,0.434419274,0.0,1.0,0.981320381,0.0,1.0,1.0,1.0
189,1.0,0.432913303,0.0,1.0,0.432913303,0.0,1.0,0.949090958,0.0,1.0,1.0,1.0
190,1.0,0.796223938,0.0,1.0,0.796223938,0.0,1.0,0.904409111,0.0,1.0,1.0,1.0
191,1.0,0.666432261,0.0,1.0,0.666432261,0.0,1.0,0.878076553,0.0,1.0,1.0,1.0
192,1.0,0.816844404,0.0,1.0,0.816844404,0.0,1.0,0.886024654,0.0,1.0,1.0,1.0
193,1.0,0.847556829,0.0,1.0,0.847556829,0.0,1.0,0.906855583,0.0,1.0,1.0,1.0
194,1.0,0.893950105,0.0,1.0,0.893950105,0.0,1.0,0.889461875,0.0,1.0,1.0,1.0
195,1.0,0.899584472,0.0,1.0,0.899584472,0.0,1.0,0.897235036,0.0,1.0,1.0,1.0
196,1.0,0.877247691,0.0,1.0,0.877247691,0.0,1.0,0.907476962,0.0,1.0,1.0,1.0
197,1.0,0.952719688,0.0,1.0,0.952719688,0.0,1.0,0.814849138,0.0,1.0,1.0,1.0
198,1.0,0.960523844,0.0,1.0,0.960523844,0.0,1.0,0.747924209,0.0,1.0,1.0,1.0
199,1.0,0.975111306,0.0631,1.0,0.975111306,0.0853,1.0,0.718400896,0.0631,1.0,1.0,1.0
200,1.0,0.999808609,0.2384,1.0,0.999808609,0.2625,1.0,0.722193003,0.2384,1.0,1.0,1.0
201,1.0,1.0,0.4278,1.0,1.0,0.4547,1.0,0.517734885,0.4278,1.0,1.0,1.0
202,1.0,1.0,0.5697,1.0,1.0,0.599,1.0,0.440654993,0.5697,1.0,1.0,1.0
203,1.0,0.996867299,0.6876,1.0,0.996867299,0.7096,1.0,0.47235918,0.6876,1.0,1.0,1.0
204,1.0,0.957846105,0.6993,1.0,0.957846105,0.7198,1.0,0.474067867,0.6993,1.0,1.0,1.0
205,1.0,0.907826662,0.6955,1.0,0.907826662,0.6991,1.0,0.543230414,0.6955,1.0,1.0,1.0
206,1.0,0.918199122,0.6864,1.0,0.918199122,0.6783,1.0,0.723340213,0.6864,1.0,1.0,1.0
207,1.0,0.951994717,0.6366,1.0,0.951994717,0.6732,1.0,0.798046649,0.6366,1.0,1.0,1.0
208,1.0,0.716081262,0.5082,1.0,0.716081262,0.5563,1.0,0.802406669,0.5082,1.0,1.0,1.0
209,1.0,0.918618083,0.3536,1.0,0.918618083,0.4041,1.0,0.833866239,0.3536,1.0,1.0,1.0
210,1.0,0.844124913,0.1506,1.0,0.844124913,0.2055,1.0,0.880895615,0.1506,1.0,1.0,1.0
211,1.0,0.91932255,0.0365,1.0,0.91932255,0.0597,1.0,0.886661351,0.0365,1.0,1.0,1.0
212,1.0,0.71794802,0.0,1.0,0.71794802,0.0,1.0,0.924427032,0.0,1.0,1.0,1.0
213,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.963136315,0.0,1.0,1.0,1.0
214,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.999079168,0.0,1.0,1.0,1.0
215,1.0,0.999719322,0.0,1.0,0.999719322,0.0,1.0,0.999988973,0.0,1.0,1.0,1.0
216,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.993228734,0.0,1.0,1.0,1.0
217,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.969367146,0.0,1.0,1.0,1.0
218,1.0,0.999401927,0.0,1.0,0.999401927,0.0,1.0,0.876194239,0.0,1.0,1.0,1.0
219,1.0,0.840446055,0.0,1.0,0.840446055,0.0,1.0,0.729236841,0.0,1.0,1.0,1.0
220,1.0,0.740907311,0.0,1.0,0.740907311,0.0,1.0,0.660441995,0.0,1.0,1.0,1.0
221,1.0,0.83974272,0.0,1.0,0.83974272,0.0,1.0,0.643812776,0.0,1.0,1.0,1.0
222,1.0,0.582625568,0.0,1.0,0.582625568,0.0,1.0,0.791162372,0.0,1.0,1.0,1.0
223,1.0,0.629124284,0.0781,1.0,0.629124284,0.0913,1.0,0.687852025,0.0781,1.0,1.0,1.0
224,1.0,0.49090004,0.2608,1.0,0.49090004,0.2631,1.0,0.517878771,0.2608,1.0,1.0,1.0
225,1.0,0.392080009,0.4544,1.0,0.392080009,0.4507,1.0,0.554159999,0.4544,1.0,1.0,1.0
226,1.0,0.118508637,0.599,1.0,0.118508637,0.607,1.0,0.4323816,0.599,1.0,1.0,1.0
227,1.0,0.092816167,0.7065,1.0,0.092816167,0.6945,1.0,0.295100838,0.7065,1.0,1.0,1.0
228,1.0,0.010389035,0.7095,1.0,0.010389035,0.7035,1.0,0.187555581,0.7095,1.0,1.0,1.0
229,1.0,0.004800459,0.6849,1.0,0.004800459,0.6451,1.0,0.257159412,0.6849,1.0,1.0,1.0
230,1.0,0.021742992,0.697,1.0,0.021742992,0.6623,1.0,0.242588431,0.697,1.0,1.0,1.0
231,1.0,0.033645563,0.4869,1.0,0.033645563,0.4454,1.0,0.204955503,0.4869,1.0,1.0,1.0
232,1.0,0.091753595,0.3611,1.0,0.091753595,0.3532,1.0,0.090663716,0.3611,1.0,1.0,1.0
233,1.0,0.073397309,0.252,1.0,0.073397309,0.2602,1.0,0.037262738,0.252,1.0,1.0,1.0
234,1.0,0.177771747,0.1208,1.0,0.177771747,0.1457,1.0,0.03664995,0.1208,1.0,1.0,1.0
235,1.0,0.125503883,0.0097,1.0,0.125503883,0.0164,1.0,0.173653916,0.0097,1.0,1.0,1.0
236,1.0,0.225670695,0.0,1.0,0.225670695,0.0,1.0,0.273606956,0.0,1.0,1.0,1.0
