Resource,natural_gas_combined_cycle,coal_super_1,coal_super_2,coal_super_3,coal_super_4,coal_super_5,20A_retrofit_1,20A_retrofit_2,20A_retrofit_3,20A_retrofit_4,20A_retrofit_5,solar_pv,onshore_wind,battery,Total
t153,0.0,0.0,0.0,0.0,0.0,0.0,4658.380681818176,5707.365289256199,790.525335743805,0.0,3806.72869318182,0.0,0.0,0.0,14963.0
t154,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,790.525335743805,0.0,5850.999999999999,0.0,0.0,0.0,14911.0
t155,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,790.525335743805,0.0,5763.0,0.0,0.0,0.0,14823.0
t156,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,790.525335743805,0.0,5609.0,0.0,0.0,0.0,14669.0
t157,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,790.525335743805,0.0,5391.999999999999,0.0,0.0,0.0,14452.0
t158,0.0,0.0,0.0,0.0,0.0,0.0,4658.380681818176,3139.05090909091,790.525335743805,0.0,5835.043073347109,0.0,0.0,0.0,14423.0
t159,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,790.525335743805,0.0,5413.0,0.0,0.0,0.0,14473.0
t160,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,790.525335743805,0.0,5734.0,0.0,0.0,0.0,14794.0
t161,0.0,0.0,0.0,0.0,0.0,0.0,4658.380681818176,5707.365289256199,790.525335743805,0.0,4871.72869318182,0.0,0.0,0.0,16028.0
t162,0.0,0.0,0.0,0.0,0.0,0.0,4658.380681818176,5707.365289256199,540.2540289256245,0.0,6000.0,0.0,0.0,0.0,16906.0
t163,0.0,0.0,0.0,0.0,0.0,0.0,4658.380681818176,5707.365289256199,440.2540289256267,0.0,6000.0,0.0,0.0,0.0,16806.0
t164,0.0,0.0,0.0,0.0,0.0,0.0,3987.109374999996,5707.365289256199,790.525335743805,0.0,6000.0,0.0,0.0,0.0,16485.0
