Resource,MA_natural_gas_combined_cycle,MA_solar_pv_1,MA_solar_pv_2,CT_natural_gas_combined_cycle,CT_onshore_wind_1,CT_onshore_wind_2,CT_solar_pv_1,CT_solar_pv_2,ME_natural_gas_combined_cycle,ME_onshore_wind_1,ME_onshore_wind_2,MA_battery,CT_battery,ME_battery,Total
t60,0.0,0.0,5.684341886080802e-14,4881.040140941302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,5132.850668819855
t61,0.0,0.0,0.0,5060.2915587880925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,5312.102086666646
t62,0.0,0.0,0.0,5166.212955519482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,5418.023483398036
t63,0.0,0.0,-8.526512829121202e-14,5289.206025769912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,5541.016553648466
t64,0.0,0.0,2.842170943040401e-14,5208.287893312658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,5460.098421191211
t65,0.0,0.0,-7.105427357601002e-15,4393.999164729932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4645.809692608485
t66,0.0,0.0,0.0,3012.796185994317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,3264.606713872871
t67,0.0,0.0,0.0,2999.426403180315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,3251.236931058869
t68,0.0,0.0,0.0,3389.1477429704955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,3640.9582708490493
t69,0.0,0.0,0.0,4021.527973203437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4273.33850108199
t70,0.0,0.0,0.0,5070.344306980152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,5322.154834858706
t71,0.0,0.0,0.0,6379.279642431506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,6631.090170310059
t72,1089.366241517726,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,7843.293908448457
t73,1867.36082210909,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,8621.288489039822
t74,2259.404543823415,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,9013.332210754146
t75,2434.1172094112726,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,9188.044876342004
t76,2424.975746687389,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,9178.90341361812
t77,2094.8819517852644,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,8848.809618715995
t78,1025.3716655146109,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,7779.299332445342
t79,0.0,0.0,0.0,5487.788781858536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,5739.599309737089
t80,0.0,0.0,0.0,4342.318802873697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4594.12933075225
t81,0.0,0.0,0.0,4337.663936432814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4589.474464311367
t82,0.0,0.0,-2.842170943040401e-14,4328.521468694696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4580.331996573249
t83,0.0,0.0,2.842170943040401e-14,4301.39657733377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4553.207105212324
t84,0.0,0.0,0.0,4356.4059086125635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4608.216436491117
t85,0.0,0.0,2.842170943040401e-14,4503.949443133408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4755.759971011961
t86,0.0,0.0,0.0,4531.225336093066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4783.03586397162
t87,0.0,0.0,-2.842170943040401e-14,4714.572829641304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4966.383357519858
t88,0.0,0.0,-2.842170943040401e-14,4704.536696696355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4956.347224574908
t89,0.0,0.0,-2.842170943040401e-14,3972.559099574063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4224.369627452616
t90,0.0,0.0,0.0,2441.1001846942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,2692.9107125727537
t91,0.0,0.0,0.0,2343.4177569130015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,2595.2282847915553
t92,0.0,0.0,0.0,2731.0611203185763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,2982.87164819713
t93,0.0,0.0,0.0,3340.816915215807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,3592.627443094361
t94,0.0,0.0,0.0,4433.840936153663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4685.651464032217
t95,0.0,0.0,0.0,5849.733763146386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,6101.544291024939
t96,594.7174437138292,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,7348.64511064456
t97,1402.181061667764,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,8156.108728598495
t98,1815.5563087164592,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,8569.48397564719
t99,2010.5518888128681,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,8764.4795557436
t100,2018.6894008410654,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,8772.617067771796
t101,1681.5067047365665,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,8435.434371667297
t102,654.6594691346563,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,7408.587136065387
t103,0.0,0.0,0.0,5126.860182206553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,5378.670710085106
t104,0.0,0.0,0.0,4036.9429202263773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4288.753448104931
t105,0.0,0.0,7.105427357601002e-15,4014.4135067857333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4266.224034664287
t106,0.0,0.0,0.0,4147.02448705448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4398.835014933034
t107,0.0,0.0,0.0,4269.68462660763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4521.495154486183
t108,0.0,0.0,0.0,4359.832900493309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4611.643428371863
t109,0.0,0.0,-2.842170943040401e-14,4466.372586930955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4718.183114809508
t110,0.0,0.0,0.0,4459.450069088049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4711.260596966602
