Resource,NGCC_bf,NGCC_gf,NGCT_bf,NGCT_gf,NGST,Coal,Nuclear,Biomass,SolarPV,Wind,Hydro,PHS,Li-ion,Retro_NGCC_CCS,Retro_NGCC_H2,Total
t1494,0.0,25117.543870885114,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,171.4709241667961,480.0,0.0,494.02520494809465,2890.0000000000005,0.0,31513.040000000005
t1495,0.0,25117.543870885114,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,132.13631912475535,480.0,0.0,1808.9208999901346,2890.0000000000005,0.0,32788.601090000004
t1496,0.0,25117.543870885114,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,277.7796535534234,480.0,0.0,2483.2803155614693,2890.0000000000005,0.0,33608.60384
t1497,0.0,18311.915016363597,0.0,0.0,0.0,0.0,2360.0,0.0,9841.482810278669,140.82918335773493,0.0,0.0,0.0,2890.0000000000005,0.0,33544.22701
t1498,0.0,4584.978293787273,0.0,0.0,0.0,0.0,2360.0,0.0,23090.9115261437,400.3246905226137,0.0,0.0,0.0,2890.0000000000005,0.0,33326.21451045359
t1499,0.0,4584.978293787273,0.0,0.0,0.0,0.0,2360.0,0.0,29798.746515919785,320.8797999201939,0.0,0.0,0.0,2890.0000000000005,0.0,39954.60460962725
t1500,0.0,4584.978293787273,0.0,0.0,0.0,0.0,2360.0,0.0,26914.460590947907,245.18852474087643,0.0,0.0,0.0,2890.0000000000005,0.0,36994.62740947606
t1501,0.0,4584.978293787273,0.0,0.0,0.0,0.0,2360.0,0.0,28352.44752184167,467.47534305691175,0.0,0.0,0.0,2890.0000000000005,0.0,38654.901158685854
t1502,0.0,4584.978293787273,0.0,0.0,0.0,0.0,2360.0,0.0,28302.57514273553,3931.8062822658667,0.0,0.0,0.0,2890.0000000000005,0.0,42069.35971878868
t1503,0.0,4584.978293787273,0.0,0.0,0.0,0.0,2360.0,0.0,23772.50070726097,5473.948162186177,0.0,0.0,0.0,2890.0000000000005,0.0,39081.42716323442
t1504,0.0,12336.787639163736,0.0,0.0,0.0,0.0,2360.0,0.0,8544.800953518978,8864.236147317284,0.0,0.0,0.0,2890.0000000000005,0.0,34995.82474
t1505,0.0,23840.34459164198,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,4919.807416232262,480.0,0.0,2389.3054121257646,2890.0000000000005,0.0,36879.457420000006
t1506,0.0,23840.34459164198,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,2973.2873436315663,480.0,0.0,4887.012954726459,2890.0000000000005,0.0,37430.64489000001
t1507,0.0,23794.20778757522,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,8290.63152242479,0.0,0.0,0.0,2890.0000000000005,0.0,37334.83931000001
t1508,0.0,14778.48993930293,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,16617.786180697072,0.0,0.0,0.0,2890.0000000000005,0.0,36646.27612
t1509,0.0,9536.137836656791,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,22523.43577001677,0.0,0.0,0.0,2890.0000000000005,0.0,37309.57360667356
t1510,0.0,13413.545024787816,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,14925.271725212184,0.0,0.0,0.0,2890.0000000000005,0.0,33588.81675
t1511,0.0,9536.137836656791,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,24718.51070154892,0.0,0.0,0.0,2890.0000000000005,0.0,39504.648538205714
t1512,0.0,10956.997012915588,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,15685.054147084413,0.0,0.0,0.0,2890.0000000000005,0.0,31892.051160000003
t1513,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,46573.53274281748,0.0,0.0,0.0,1156.0000000000005,0.0,50089.53274281748
t1514,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,44225.263753388004,0.0,0.0,0.0,2712.235540929928,0.0,49297.49929431793
t1515,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,43813.88412474137,0.0,0.0,0.0,2890.0000000000005,0.0,49063.88412474137
t1516,0.0,498.52768245826695,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,36492.52615754173,0.0,0.0,0.0,2890.0000000000005,0.0,42241.05384
t1517,0.0,8844.919524882698,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,30886.548885117307,480.0,0.0,0.0,2890.0000000000005,0.0,45461.46841
t1518,0.0,16481.082941088418,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,26054.997488911587,480.0,0.0,0.0,2890.0000000000005,0.0,48266.08043
t1519,0.0,16999.559779708474,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,21554.536141498887,480.0,0.0,3887.639188792644,2890.0000000000005,0.0,48171.73511000001
t1520,0.0,16999.559779708474,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,19844.33681618222,480.0,0.0,4699.113184109311,2890.0000000000005,0.0,47273.00978
