Resource,NGCC_bf,NGCC_gf,NGCT_bf,NGCT_gf,NGST,Coal,Nuclear,Biomass,SolarPV,Wind,Hydro,PHS,Li-ion,Retro_NGCC_CCS,Retro_NGCC_H2,Retro_Coal_TES,Retro_Coal_SMR
t106,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,104.86544508459669,0.0,0.0,62.474999999999994
t107,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,104.86544508459669,0.0,0.0,62.474999999999994
t108,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,112.44234981945993,0.0,0.0,62.474999999999994
t109,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,112.44234981945993,0.0,0.0,62.474999999999994
t110,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,112.44234981945993,0.0,0.0,62.474999999999994
t111,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,112.44234981945993,0.0,0.0,62.474999999999994
t112,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,126.91348980961575,0.0,0.0,62.474999999999994
t113,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,126.91348980961575,0.0,0.0,62.474999999999994
t114,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,126.91348980961575,0.0,0.0,62.47500000000001
t115,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,126.91348980961575,0.0,0.0,62.474999999999994
t116,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,126.91348980961575,0.0,0.0,62.475
t117,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,126.91348980961575,0.0,0.0,62.474999999999994
t118,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,126.91348980961575,0.0,0.0,62.474999999999994
t119,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,126.91348980961575,0.0,0.0,62.474999999999994
t120,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,126.91348980961575,0.0,0.0,62.474999999999994
t121,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,75.5079453600068,0.0,0.0,62.475
t122,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,75.5079453600068,0.0,0.0,62.475
t123,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,75.5079453600068,0.0,0.0,62.475
t124,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,75.5079453600068,0.0,0.0,62.474999999999994
t125,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,75.5079453600068,0.0,0.0,62.474999999999994
t126,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,75.5079453600068,0.0,0.0,62.474999999999994
t127,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,75.5079453600068,0.0,0.0,62.474999999999994
t128,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,75.5079453600068,0.0,0.0,62.474999999999994
t129,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,75.5079453600068,0.0,0.0,62.474999999999994
t130,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,92.82618193844631,0.0,0.0,62.474999999999994
t131,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,92.82618193844631,0.0,0.0,62.474999999999994
t132,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,92.82618193844631,0.0,0.0,62.474999999999994
t133,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,96.10501984352193,0.0,0.0,62.474999999999994
t134,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,96.10501984352193,0.0,0.0,62.474999999999994
t135,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,96.10501984352193,0.0,0.0,62.474999999999994
t136,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,96.10501984352193,0.0,0.0,62.474999999999994
t137,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,110.49577371180003,0.0,0.0,62.474999999999994
t138,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,110.49577371180003,0.0,0.0,62.474999999999994
t139,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,110.49577371180003,0.0,0.0,62.474999999999994
t140,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,110.49577371180003,0.0,0.0,62.474999999999994
t141,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,110.49577371180003,0.0,0.0,62.474999999999994
t142,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,110.49577371180003,0.0,0.0,62.474999999999994
t143,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,110.49577371180003,0.0,0.0,62.474999999999994
t144,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,77.71448466188909,0.0,0.0,62.474999999999994
t145,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,77.71448466188909,0.0,0.0,62.474999999999994
t146,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,77.71448466188909,0.0,0.0,62.474999999999994
t147,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,77.71448466188909,0.0,0.0,62.47499999999998
t148,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,77.71448466188909,0.0,0.0,62.474999999999994
t149,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,77.71448466188909,0.0,0.0,62.474999999999994
t150,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,77.71448466188909,0.0,0.0,62.474999999999994
t151,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,77.7144846618891,0.0,0.0,62.474999999999994
t152,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,77.7144846618891,0.0,0.0,62.47499999999998
t153,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,77.7144846618891,0.0,0.0,62.474999999999994
t154,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,77.7144846618891,0.0,0.0,62.474999999999994
t155,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,77.7144846618891,0.0,0.0,62.474999999999994
