,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t1418,9916.863903582456,3674.857216980565,-3346.990606470288,0.0,-0.0,0.0,0.0,0.0,0.0,-10244.730514092733
t1419,10220.775643999066,3369.3728381925416,-3652.4749852583122,0.0,-0.0,0.0,0.0,0.0,0.0,-9937.673496933296
t1420,10957.972459999088,2956.9845119378347,-4064.8633115130187,0.0,-0.0,0.0,0.0,0.0,0.0,-9850.093660423903
t1421,11015.308252500483,3041.220742271534,-3980.6270811793192,0.0,-0.0,0.0,0.0,0.0,0.0,-10075.9019135927
t1422,11070.531452848294,3530.1191417524237,-3491.7286816984297,0.0,-0.0,0.0,0.0,0.0,0.0,-11108.921912902288
t1423,14197.009772312718,2905.461482925091,-4116.3863405257625,0.0,-0.0,0.0,0.0,0.0,0.0,-12986.084914712048
t1424,15378.688443671357,2846.432238820881,-4175.415584629972,0.0,-0.0,0.0,0.0,0.0,0.0,-14049.705097862266
t1425,13983.810527367423,3777.593290790084,-3244.2545326607697,0.0,-0.0,0.0,0.0,0.0,0.0,-14517.149285496736
t1426,13707.252983583701,4073.6212862741654,-2948.226537176688,0.0,-0.0,0.0,0.0,0.0,0.0,-14832.64773268118
t1427,15489.292535290542,3318.719569573897,-3703.1282538769565,0.0,-0.0,0.0,0.0,0.0,0.0,-15104.883850987484
t1428,16870.552828591415,2698.7863993828523,-4323.0614240680015,0.0,-0.0,0.0,0.0,0.0,0.0,-15246.277803906263
t1429,18414.251728211268,1933.2680220916752,-5088.579801359178,0.0,-0.0,0.0,0.0,0.0,0.0,-15258.939948943767
t1430,18166.39202629975,2074.080733097438,-4947.767090353415,0.0,-0.0,0.0,0.0,0.0,0.0,-15292.705669043775
t1431,16240.36074396696,2990.140919749761,-4031.7069037010924,0.0,-0.0,0.0,0.0,0.0,0.0,-15198.79476001563
t1432,15088.00099093748,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15088.00099093748
t1433,12678.214677105003,2366.5239849543436,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15044.738662059346
