Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
t117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,865.5271951887308
t118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,1171.4691206094215
t119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,1838.4351145246244
t120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,2610.813436762963
t121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,2610.813436762963
t122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,3496.853747801902
t123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4401.226637679646
t124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4401.226637679646
t125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,5288.183577660525
t126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,5288.183577660525
t127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,5288.183577660525
t128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,5550.876238517484
t129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,5545.096343492128
t130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,5332.822094117762
t131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4982.184026884205
t132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4586.840561956355
t133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4280.907892417086
t134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4078.2118662980265
t135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4045.8211138949114
t136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,4045.8211138949114
t137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.3658173592223,-0.0,3684.5218497033734
